,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens,Flavour ,DMC_fruit,ProdA,ProdB,avg_nr_harvested_trusses,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB,irr_Si,irr_Cl,irr_HCO3,irr_Mo,drain_K,drain_Cl,Heat_cons,ElecLow,CO2_cons,Irr,Drain,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,co2_dos,pH_drain_PC,assim_sp,dx_sp,int_blue_sp,int_farred_sp,int_red_sp,t_heat_sp,t_rail_min_sp,t_vent_sp,assim_vip,co2_vip,dx_vip,int_blue_vip,int_red_vip,scr_blck_vip,t_heat_vip,t_rail_min_vip,t_ventlee_vip,water_sup_intervals_vip_min
2020-02-23,29.1,11.3,10.4,3.6,1.8,80,0.0,0.5,0.0,1.1,0.0,1250.0,0,0,0.09,7.2,0.09,0.27,4.5,20.0,2.9973,0.858,0.060071667,2.6,1.1,8790.9,11713.1,157828.4,136091.1,43593.9,0.0,98.0,658.0,2.6,7.1,100.0,0.7,0.0,45.4,19.0,0.0,0.0,2.0,0.0,5.5,84066.66666666667,4435.200000000001,2016000.0,2016000.0,1490000.0,42487.3,0.0,45236.46666666667,146100.0,1431675.0,4435.200000000001,1513500.0,993166.6666666666,116600.0,42064.3,0.0,45256.8,1367810.0
2020-03-01,36.5,11.2,11.6,3.6,1.8,0,0.0,0.85,0.0,1.8,259.0,2411.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6344,0.7865,0.065365833,2.9,0.8,8561.1,10740.0,140801.4,118050.8,39708.3,0.0,98.0,595.0,2.9,8.3,100.0,1.2,0.0,42.9,19.2,0.0,0.0,2.0,0.0,5.2,86033.33333333334,4435.200000000001,2016000.0,2016000.0,1431000.0,42763.566666666666,0.0,45376.7,126900.0,1367500.0,4347.200000000001,1384666.6666666667,813166.6666666666,115832.0,42064.5,0.0,44394.5,1412340.0
2020-03-08,33.9,10.6,13.1,3.6,1.8,74,0.0,0.73,0.0,0.8,143.0,1328.0,0,0,0.01,6.6,0.1,0.3,11.9,21.2,1.9668,0.7865,0.061339167,2.9,1.1,10055.4,11741.1,160468.9,132032.1,42523.9,0.0,98.0,704.0,3.4,4.7,100.0,0.6,0.0,49.1,18.3,0.0,0.0,2.0,0.0,8.3,73833.33333333334,4435.200000000001,2016000.0,2016000.0,1871000.0,42583.76666666667,0.0,45092.53333333333,124400.0,1435625.0,4435.200000000001,1245000.0,1148950.0,78706.0,41314.9,0.0,44461.5,1294070.0
2020-03-15,36.5,11.7,14.5,3.6,1.8,0,0.0,0.79,0.0,1.8,200.0,2054.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.155,0.7865,0.065145,3.4,1.7,9243.8,10267.8,155270.1,125547.9,41924.0,0.0,98.0,667.0,3.4,6.3,100.0,0.6,0.0,43.7,18.5,0.0,0.0,3.0,0.0,8.1,70066.66666666667,4435.200000000001,2016000.0,2016000.0,2016000.0,42607.433333333334,0.0,45027.566666666666,119400.0,1452975.0,4435.200000000001,1196000.0,1194000.0,83872.0,41358.9,0.0,44597.2,1261400.0
2020-03-22,33.7,11.3,15.9,4.5,1.8,71,8.73,0.49,0.0,0.9,116.0,1125.0,0,0,0.009,0.2,0.2,0.3,14.8,4.3,2.6478,0.7865,0.0734125,4.1,0.9,9820.2,10197.0,159696.4,124229.0,44021.4,0.0,98.0,610.0,3.8,6.1,100.0,1.4,0.0,52.6,19.0,0.0,0.0,3.0,0.0,5.1,70266.66666666667,4435.200000000001,2016000.0,2016000.0,2016000.0,42820.3,0.0,45580.8,85900.0,1413600.0,4435.200000000001,899700.0,907366.6666666666,92892.0,41497.8,0.0,45289.7,1413713.0
2020-03-29,35.8,11.4,17.1,4.5,1.8,0,0.0,0.86,0.0,1.1,144.0,1347.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.8368,0.411666667,0.0699,3.8,1.1,11024.3,10228.2,166044.8,121506.4,44512.2,0.0,98.0,578.0,5.3,6.2,100.0,1.4,0.0,34.2,17.8,0.0,0.0,3.0,0.0,4.1,95866.66666666667,4435.200000000001,2016000.0,2016000.0,1440000.0,43449.03333333333,0.0,46317.7,57000.0,1475650.0,4404.400000000001,624166.6666666666,423833.3333333333,79716.0,42776.6,0.0,46133.1,1236060.0
2020-04-05,34.9,11.7,18.5,4.5,1.8,76,9.07,0.6,0.0,0.9,124.0,1288.0,0,0,0.009,0.3,0.1,0.3,17.9,0.1,1.1448,0.4275,0.090524167,4.7,1.7,10701.3,9985.8,162864.1,120697.8,45206.6,0.0,98.0,666.0,4.3,5.7,100.0,0.8,0.0,24.6,18.0,0.0,0.0,4.0,0.0,4.3,151950.0,4435.200000000001,2016000.0,2016000.0,210000.0,43320.53333333333,0.0,47046.6,71000.0,1558875.0,4400.0,852333.3333333334,175000.0,83516.0,42432.3,0.0,46230.7,1394010.0
2020-04-12,35.7,11.3,19.7,4.5,1.8,0,0.0,0.8799999999999999,0.0,2.0,267.0,2849.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.5085,0.090629167,5.4,3.0,10079.9,10290.3,157868.1,120174.6,45530.2,0.0,98.0,669.0,5.0,6.4,100.0,0.9,0.0,0.0,18.9,0.0,0.0,5.0,0.0,4.1,133533.33333333334,4435.200000000001,288000.0,2016000.0,1728000.0,41201.166666666664,0.0,44584.73333333334,62900.0,1552250.0,4435.200000000001,112333.33333333333,546000.0,53982.0,42990.0,0.0,46721.0,1336505.0
2020-04-19,30.3,10.8,21.3,4.5,1.8,73,8.71,0.64,0.0,0.9,126.0,1353.0,0,0,0.009,1.0,0.09,0.1,13.5,0.09,0.6486,0.5085,0.118889167,5.0,1.8,9158.9,9967.0,150639.2,119728.4,45230.0,0.0,98.0,659.0,4.0,6.2,100.0,0.5,0.0,0.0,18.1,0.0,0.0,5.0,0.0,4.0,132566.66666666666,4435.200000000001,0.0,2016000.0,2016000.0,40884.1,0.0,44211.833333333336,70500.0,1476650.0,4435.200000000001,22000.0,719333.3333333334,53197.0,42636.1,0.0,46313.0,1400785.0
2020-04-26,14.0,9.8,22.0,4.5,1.8,0,0.0,0.91,0.0,1.9,263.0,3070.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0725,0.452,0.0577625,5.0,1.8,7876.2,8407.4,133397.2,107289.2,41439.9,0.0,98.0,526.0,5.4,5.8,100.0,1.5,0.0,29.0,18.1,0.0,0.0,5.0,0.0,3.6,132366.66666666666,4435.200000000001,0.0,2016000.0,2016000.0,40723.73333333334,0.0,44223.53333333333,54500.0,1482775.0,4435.200000000001,131866.66666666666,681366.6666666666,48141.0,42788.0,0.0,46700.9,1317795.0
2020-05-03,0.0,0.0,22.0,4.5,1.8,77,9.25,0.67,0.0,1.2,193.0,1945.0,0,0,0.01,4.3,0.3,0.6,13.8,0.09,0.4131,0.0,0.051095,4.3,2.0,8916.2,9338.9,147827.2,118647.3,45441.8,0.0,98.0,639.0,4.0,5.9,100.0,1.0,0.0,0.0,18.4,0.0,0.0,5.0,0.0,3.8,129200.0,4435.200000000001,0.0,1923000.0,1923000.0,39898.13333333333,0.0,43926.2,82100.0,1506750.0,4435.200000000001,111000.0,979666.6666666666,47055.0,41984.3,0.0,46845.2,1337270.0
2020-05-10,0.0,0.0,0.0,4.5,1.8,0,0.0,1.47,0.0,2.2,296.0,3380.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9474,0.0,0.0478775,4.0,1.7,10127.6,10710.6,150042.4,119221.4,45885.2,0.0,98.0,500.0,4.3,7.9,100.0,1.8,0.0,0.0,19.6,0.0,0.0,20.0,0.0,3.4,122833.33333333334,4435.200000000001,0.0,2016000.0,2016000.0,40808.9,0.0,44202.7,10600.0,1226500.0,4435.200000000001,155000.0,262666.6666666667,56635.0,41589.1,0.0,45483.6,1688780.0
2020-05-17,0.0,0.0,0.0,4.5,1.8,79,8.88,0.72,0.0,1.0,126.0,1482.0,0,0,0.01,0.9,0.09,0.5,18.6,0.2,0.9843,0.0,0.080344167,4.7,2.4,10021.5,10479.2,148530.7,120289.1,45859.4,0.0,98.0,677.0,3.6,7.2,100.0,2.0,0.0,25.4,18.9,0.0,0.0,1.0,0.0,3.4,119700.0,4435.200000000001,0.0,2016000.0,2016000.0,41001.433333333334,0.0,44209.666666666664,0.0,1128100.0,4435.200000000001,405833.3333333333,405833.3333333333,46248.0,41857.8,0.0,45568.5,1741790.0
